date,OT
2003-04-08 00:00:00,314349
2003-04-15 00:00:00,308614
2003-04-22 00:00:00,289774
2003-04-29 00:00:00,287586
2003-05-06 00:00:00,295646
2003-05-13 00:00:00,288762
2003-05-20 00:00:00,282347
2003-05-27 00:00:00,281202
2003-06-03 00:00:00,271597
2003-06-10 00:00:00,257294
2003-06-17 00:00:00,243802
2003-06-24 00:00:00,248805
2003-07-01 00:00:00,234998
2003-07-08 00:00:00,212432
2003-07-15 00:00:00,209178
2003-07-22 00:00:00,203802
2003-07-29 00:00:00,194708
2003-08-05 00:00:00,184038
2003-08-12 00:00:00,168276
2003-08-19 00:00:00,155386
2003-08-26 00:00:00,133008
2003-09-02 00:00:00,120884
2003-09-09 00:00:00,133117
2003-09-16 00:00:00,128740
2003-09-23 00:00:00,124037
2003-09-30 00:00:00,124146
2003-10-07 00:00:00,90238
2003-10-14 00:00:00,97135
2003-10-21 00:00:00,95515
2003-10-28 00:00:00,92216
2003-11-04 00:00:00,116693
2003-11-11 00:00:00,89644
2003-11-18 00:00:00,95481
2003-11-25 00:00:00,91326
2003-12-02 00:00:00,96656
2003-12-09 00:00:00,104207
2003-12-16 00:00:00,118343
2003-12-23 00:00:00,117483
2003-12-30 00:00:00,114857
2004-01-06 00:00:00,353449
2004-01-13 00:00:00,355116
2004-01-20 00:00:00,378094
2004-01-27 00:00:00,380921
2004-02-03 00:00:00,377692
2004-02-10 00:00:00,380718
2004-02-17 00:00:00,387182
2004-02-24 00:00:00,295546
2004-03-02 00:00:00,387004
2004-03-09 00:00:00,374356
2004-03-16 00:00:00,355806
2004-03-23 00:00:00,259639
2004-03-30 00:00:00,283617
2004-04-06 00:00:00,369455
2004-04-13 00:00:00,378024
2004-04-20 00:00:00,368678
2004-04-27 00:00:00,405254
2004-05-04 00:00:00,406772
2004-05-11 00:00:00,421461
2004-05-18 00:00:00,419426
2004-05-25 00:00:00,397883
2004-06-01 00:00:00,383196
2004-06-08 00:00:00,367292
2004-06-15 00:00:00,355454
2004-06-22 00:00:00,335940
2004-06-29 00:00:00,334438
2004-07-06 00:00:00,315823
2004-07-13 00:00:00,314948
2004-07-20 00:00:00,305833
2004-07-27 00:00:00,302065
2004-08-03 00:00:00,277120
2004-08-10 00:00:00,263009
2004-08-17 00:00:00,238494
2004-08-24 00:00:00,194550
2004-08-31 00:00:00,167661
2004-09-07 00:00:00,171960
2004-09-14 00:00:00,154899
2004-09-21 00:00:00,170645
2004-09-28 00:00:00,160216
2004-10-05 00:00:00,142302
2004-10-12 00:00:00,157068
2004-10-19 00:00:00,149699
2004-10-26 00:00:00,147612
2004-11-02 00:00:00,142468
2004-11-09 00:00:00,145121
2004-11-16 00:00:00,150673
2004-11-23 00:00:00,151290
2004-11-30 00:00:00,151854
2004-12-07 00:00:00,136817
2004-12-14 00:00:00,150127
2004-12-21 00:00:00,156067
2004-12-28 00:00:00,149205
2005-01-04 00:00:00,333164
2005-01-11 00:00:00,338343
2005-01-18 00:00:00,369609
2005-01-25 00:00:00,377999
2005-02-01 00:00:00,398840
2005-02-08 00:00:00,376924
2005-02-15 00:00:00,382697
2005-02-22 00:00:00,298578
2005-03-01 00:00:00,402264
2005-03-08 00:00:00,385248
2005-03-15 00:00:00,383548
2005-03-22 00:00:00,333921
2005-03-29 00:00:00,289638
2005-04-05 00:00:00,343871
2005-04-12 00:00:00,393716
2005-04-19 00:00:00,381699
2005-04-26 00:00:00,411882
2005-05-03 00:00:00,411291
2005-05-10 00:00:00,418286
2005-05-17 00:00:00,401661
2005-05-24 00:00:00,400827
2005-05-31 00:00:00,399459
2005-06-07 00:00:00,405365
2005-06-14 00:00:00,376971
2005-06-21 00:00:00,369804
2005-06-28 00:00:00,362605
2005-07-05 00:00:00,349662
2005-07-12 00:00:00,334760
2005-07-19 00:00:00,310641
2005-07-26 00:00:00,305389
2005-08-02 00:00:00,288278
2005-08-09 00:00:00,276338
2005-08-16 00:00:00,256267
2005-08-23 00:00:00,231075
2005-08-30 00:00:00,190252
2005-09-06 00:00:00,213847
2005-09-13 00:00:00,169353
2005-09-20 00:00:00,167770
2005-09-27 00:00:00,154741
2005-10-04 00:00:00,139216
2005-10-11 00:00:00,175259
2005-10-18 00:00:00,172654
2005-10-25 00:00:00,172581
2005-11-01 00:00:00,161937
2005-11-08 00:00:00,168024
2005-11-15 00:00:00,167183
2005-11-22 00:00:00,154071
2005-11-29 00:00:00,153390
2005-12-06 00:00:00,144289
2005-12-13 00:00:00,159603
2005-12-20 00:00:00,157627
2005-12-27 00:00:00,160732
2006-01-03 00:00:00,375076
2006-01-10 00:00:00,384920
2006-01-17 00:00:00,419005
2006-01-24 00:00:00,434287
2006-01-31 00:00:00,445334
2006-02-07 00:00:00,454901
2006-02-14 00:00:00,453945
2006-02-21 00:00:00,336822
2006-02-28 00:00:00,452089
2006-03-07 00:00:00,436741
2006-03-14 00:00:00,435177
2006-03-21 00:00:00,365334
2006-03-28 00:00:00,286087
2006-04-04 00:00:00,369521
2006-04-11 00:00:00,416464
2006-04-18 00:00:00,395477
2006-04-25 00:00:00,446119
2006-05-02 00:00:00,428241
2006-05-09 00:00:00,454533
2006-05-16 00:00:00,429057
2006-05-23 00:00:00,442099
2006-05-30 00:00:00,433281
2006-06-06 00:00:00,428255
2006-06-13 00:00:00,395394
2006-06-20 00:00:00,385735
2006-06-27 00:00:00,386327
2006-07-04 00:00:00,361955
2006-07-11 00:00:00,357183
2006-07-18 00:00:00,356055
2006-07-25 00:00:00,347413
2006-08-01 00:00:00,317311
2006-08-08 00:00:00,296262
2006-08-15 00:00:00,285031
2006-08-22 00:00:00,259803
2006-08-29 00:00:00,220020
2006-09-05 00:00:00,225197
2006-09-12 00:00:00,217982
2006-09-19 00:00:00,216378
2006-09-26 00:00:00,218376
2006-10-03 00:00:00,176387
2006-10-10 00:00:00,199040
2006-10-17 00:00:00,206574
2006-10-24 00:00:00,205241
2006-10-31 00:00:00,194161
2006-11-07 00:00:00,200154
2006-11-14 00:00:00,207580
2006-11-21 00:00:00,210629
2006-11-28 00:00:00,213219
2006-12-05 00:00:00,187384
