date,OT
2018-05-25 14:00:00,0.0508
2018-05-25 15:00:00,0.0542
2018-05-25 16:00:00,0.0527
2018-05-25 17:00:00,0.0503
2018-05-25 18:00:00,0.0395
2018-05-25 19:00:00,0.0408
2018-05-25 20:00:00,0.0397
2018-05-25 21:00:00,0.0398
2018-05-25 22:00:00,0.041
2018-05-25 23:00:00,0.0366
2018-05-26 00:00:00,0.0285
2018-05-26 01:00:00,0.0222
2018-05-26 02:00:00,0.0143
2018-05-26 03:00:00,0.0088
2018-05-26 04:00:00,0.0052
2018-05-26 05:00:00,0.0046
2018-05-26 06:00:00,0.006
2018-05-26 07:00:00,0.0088
2018-05-26 08:00:00,0.0144
2018-05-26 09:00:00,0.0213
2018-05-26 10:00:00,0.0313
2018-05-26 11:00:00,0.0356
2018-05-26 12:00:00,0.0419
2018-05-26 13:00:00,0.0492
2018-05-26 14:00:00,0.0556
2018-05-26 15:00:00,0.055
2018-05-26 16:00:00,0.0567
2018-05-26 17:00:00,0.0589
2018-05-26 18:00:00,0.0596
2018-05-26 19:00:00,0.0536
2018-05-26 20:00:00,0.0512
2018-05-26 21:00:00,0.0388
2018-05-26 22:00:00,0.0322
2018-05-26 23:00:00,0.0294
2018-05-27 00:00:00,0.0214
2018-05-27 01:00:00,0.0162
2018-05-27 02:00:00,0.0116
2018-05-27 03:00:00,0.0064
2018-05-27 04:00:00,0.0059
2018-05-27 05:00:00,0.005
2018-05-27 06:00:00,0.0046
2018-05-27 07:00:00,0.0064
2018-05-27 08:00:00,0.01
2018-05-27 09:00:00,0.0166
2018-05-27 10:00:00,0.0226
2018-05-27 11:00:00,0.0311
2018-05-27 12:00:00,0.0383
2018-05-27 13:00:00,0.0456
2018-05-27 14:00:00,0.0487
2018-05-27 15:00:00,0.0523
2018-05-27 16:00:00,0.0492
2018-05-27 17:00:00,0.0534
2018-05-27 18:00:00,0.0542
2018-05-27 19:00:00,0.054
2018-05-27 20:00:00,0.0442
2018-05-27 21:00:00,0.0369
2018-05-27 22:00:00,0.0278
2018-05-27 23:00:00,0.0242
2018-05-28 00:00:00,0.0222
2018-05-28 01:00:00,0.017
2018-05-28 02:00:00,0.0119
2018-05-28 03:00:00,0.0075
2018-05-28 04:00:00,0.0057
2018-05-28 05:00:00,0.0042
2018-05-28 06:00:00,0.0038
2018-05-28 07:00:00,0.0062
2018-05-28 08:00:00,0.0093
2018-05-28 09:00:00,0.0138
2018-05-28 10:00:00,0.0193
2018-05-28 11:00:00,0.0288
2018-05-28 12:00:00,0.0351
2018-05-28 13:00:00,0.0416
2018-05-28 14:00:00,0.0493
2018-05-28 15:00:00,0.0506
2018-05-28 16:00:00,0.0498
2018-05-28 17:00:00,0.0491
2018-05-28 18:00:00,0.0498
2018-05-28 19:00:00,0.0485
2018-05-28 20:00:00,0.0418
2018-05-28 21:00:00,0.0349
2018-05-28 22:00:00,0.0255
2018-05-28 23:00:00,0.0204
2018-05-29 00:00:00,0.014
2018-05-29 01:00:00,0.0096
2018-05-29 02:00:00,0.0063
2018-05-29 03:00:00,0.0043
2018-05-29 04:00:00,0.0036
2018-05-29 05:00:00,0.0049
2018-05-29 06:00:00,0.0096
2018-05-29 07:00:00,0.0193
2018-05-29 08:00:00,0.0305
2018-05-29 09:00:00,0.0451
2018-05-29 10:00:00,0.0504
2018-05-29 11:00:00,0.042
2018-05-29 12:00:00,0.0426
2018-05-29 13:00:00,0.0506
2018-05-29 14:00:00,0.0538
2018-05-29 15:00:00,0.0595
2018-05-29 16:00:00,0.0691
2018-05-29 17:00:00,0.0721
2018-05-29 18:00:00,0.0761
2018-05-29 19:00:00,0.0825
2018-05-29 20:00:00,0.0694
2018-05-29 21:00:00,0.0505
2018-05-29 22:00:00,0.0333
2018-05-29 23:00:00,0.0251
2018-05-30 00:00:00,0.0167
2018-05-30 01:00:00,0.0102
2018-05-30 02:00:00,0.0085
2018-05-30 03:00:00,0.0045
2018-05-30 04:00:00,0.004
2018-05-30 05:00:00,0.0054
2018-05-30 06:00:00,0.0095
2018-05-30 07:00:00,0.0174
2018-05-30 08:00:00,0.0306
2018-05-30 09:00:00,0.0418
2018-05-30 10:00:00,0.0488
2018-05-30 11:00:00,0.0428
2018-05-30 12:00:00,0.0454
2018-05-30 13:00:00,0.0528
2018-05-30 14:00:00,0.0558
2018-05-30 15:00:00,0.0592
2018-05-30 16:00:00,0.0708
2018-05-30 17:00:00,0.0807
2018-05-30 18:00:00,0.0826
2018-05-30 19:00:00,0.0831
2018-05-30 20:00:00,0.069
2018-05-30 21:00:00,0.054
2018-05-30 22:00:00,0.042
2018-05-30 23:00:00,0.0305
2018-05-31 00:00:00,0.0198
2018-05-31 01:00:00,0.0128
2018-05-31 02:00:00,0.0082
2018-05-31 03:00:00,0.005
2018-05-31 04:00:00,0.0039
2018-05-31 05:00:00,0.0065
2018-05-31 06:00:00,0.0105
2018-05-31 07:00:00,0.0171
2018-05-31 08:00:00,0.0325
2018-05-31 09:00:00,0.0475
2018-05-31 10:00:00,0.0536
2018-05-31 11:00:00,0.0431
2018-05-31 12:00:00,0.0467
2018-05-31 13:00:00,0.0529
2018-05-31 14:00:00,0.0589
2018-05-31 15:00:00,0.0628
2018-05-31 16:00:00,0.0708
2018-05-31 17:00:00,0.0787
2018-05-31 18:00:00,0.0814
2018-05-31 19:00:00,0.083
2018-05-31 20:00:00,0.0676
2018-05-31 21:00:00,0.0558
2018-05-31 22:00:00,0.0428
2018-05-31 23:00:00,0.032
2018-06-01 00:00:00,0.0179
2018-06-01 01:00:00,0.0114
2018-06-01 02:00:00,0.0083
2018-06-01 03:00:00,0.0043
2018-06-01 04:00:00,0.0044
2018-06-01 05:00:00,0.0052
2018-06-01 06:00:00,0.0093
2018-06-01 07:00:00,0.0187
2018-06-01 08:00:00,0.0326
2018-06-01 09:00:00,0.0438
2018-06-01 10:00:00,0.053
2018-06-01 11:00:00,0.045
2018-06-01 12:00:00,0.0473
2018-06-01 13:00:00,0.0568
2018-06-01 14:00:00,0.0586
2018-06-01 15:00:00,0.0632
2018-06-01 16:00:00,0.072
2018-06-01 17:00:00,0.0796
2018-06-01 18:00:00,0.0809
2018-06-01 19:00:00,0.0849
2018-06-01 20:00:00,0.0681
2018-06-01 21:00:00,0.0549
2018-06-01 22:00:00,0.0413
2018-06-01 23:00:00,0.0299
2018-06-02 00:00:00,0.0206
2018-06-02 01:00:00,0.014
2018-06-02 02:00:00,0.0104
2018-06-02 03:00:00,0.0054
2018-06-02 04:00:00,0.0046
2018-06-02 05:00:00,0.0064
2018-06-02 06:00:00,0.0095
2018-06-02 07:00:00,0.0169
2018-06-02 08:00:00,0.0324
2018-06-02 09:00:00,0.047
2018-06-02 10:00:00,0.0526
2018-06-02 11:00:00,0.0464
2018-06-02 12:00:00,0.0485
2018-06-02 13:00:00,0.046
2018-06-02 14:00:00,0.0571
2018-06-02 15:00:00,0.0694
2018-06-02 16:00:00,0.0762
2018-06-02 17:00:00,0.076
2018-06-02 18:00:00,0.0751
2018-06-02 19:00:00,0.0847
2018-06-02 20:00:00,0.068
2018-06-02 21:00:00,0.0542
2018-06-02 22:00:00,0.0402
2018-06-02 23:00:00,0.034
2018-06-03 00:00:00,0.0269
2018-06-03 01:00:00,0.0203
2018-06-03 02:00:00,0.0132
2018-06-03 03:00:00,0.009
2018-06-03 04:00:00,0.0061
2018-06-03 05:00:00,0.0049
2018-06-03 06:00:00,0.0059
2018-06-03 07:00:00,0.0084
2018-06-03 08:00:00,0.0159
2018-06-03 09:00:00,0.0246
2018-06-03 10:00:00,0.0342
2018-06-03 11:00:00,0.0404
2018-06-03 12:00:00,0.048
2018-06-03 13:00:00,0.0567
2018-06-03 14:00:00,0.0578
2018-06-03 15:00:00,0.0621
2018-06-03 16:00:00,0.0597
2018-06-03 17:00:00,0.0635
2018-06-03 18:00:00,0.0637
2018-06-03 19:00:00,0.0667
2018-06-03 20:00:00,0.0561
2018-06-03 21:00:00,0.0431
2018-06-03 22:00:00,0.0347
2018-06-03 23:00:00,0.032
2018-06-04 00:00:00,0.0263
2018-06-04 01:00:00,0.02
2018-06-04 02:00:00,0.0139
2018-06-04 03:00:00,0.0077
2018-06-04 04:00:00,0.0056
2018-06-04 05:00:00,0.0047
2018-06-04 06:00:00,0.0037
2018-06-04 07:00:00,0.0052
2018-06-04 08:00:00,0.0087
2018-06-04 09:00:00,0.0148
2018-06-04 10:00:00,0.0235
2018-06-04 11:00:00,0.0308
2018-06-04 12:00:00,0.0364
2018-06-04 13:00:00,0.0457
2018-06-04 14:00:00,0.0487
2018-06-04 15:00:00,0.053
2018-06-04 16:00:00,0.0515
2018-06-04 17:00:00,0.0491
2018-06-04 18:00:00,0.0548
2018-06-04 19:00:00,0.0547
2018-06-04 20:00:00,0.0466
2018-06-04 21:00:00,0.0339
2018-06-04 22:00:00,0.0299
2018-06-04 23:00:00,0.0217
2018-06-05 00:00:00,0.0146
2018-06-05 01:00:00,0.0087
2018-06-05 02:00:00,0.0066
2018-06-05 03:00:00,0.0042
2018-06-05 04:00:00,0.0028
2018-06-05 05:00:00,0.0049
2018-06-05 06:00:00,0.0099
2018-06-05 07:00:00,0.0175
2018-06-05 08:00:00,0.0307
2018-06-05 09:00:00,0.043
2018-06-05 10:00:00,0.0485
2018-06-05 11:00:00,0.0417
2018-06-05 12:00:00,0.0437
2018-06-05 13:00:00,0.0559
2018-06-05 14:00:00,0.0591
2018-06-05 15:00:00,0.0615
2018-06-05 16:00:00,0.0715
2018-06-05 17:00:00,0.0762
2018-06-05 18:00:00,0.0804
2018-06-05 19:00:00,0.0645
2018-06-05 20:00:00,0.0853
2018-06-05 21:00:00,0.0527
2018-06-05 22:00:00,0.0334
2018-06-05 23:00:00,0.0273
2018-06-06 00:00:00,0.0181
2018-06-06 01:00:00,0.0101
2018-06-06 02:00:00,0.0083
2018-06-06 03:00:00,0.0046
2018-06-06 04:00:00,0.0039
2018-06-06 05:00:00,0.0052
2018-06-06 06:00:00,0.0102
2018-06-06 07:00:00,0.0185
2018-06-06 08:00:00,0.032
2018-06-06 09:00:00,0.0459
2018-06-06 10:00:00,0.0523
2018-06-06 11:00:00,0.0437
2018-06-06 12:00:00,0.0478
2018-06-06 13:00:00,0.0537
2018-06-06 14:00:00,0.0577
2018-06-06 15:00:00,0.065
2018-06-06 16:00:00,0.0711
2018-06-06 17:00:00,0.0745
2018-06-06 18:00:00,0.0759
2018-06-06 19:00:00,0.0836
2018-06-06 20:00:00,0.0737
2018-06-06 21:00:00,0.057
2018-06-06 22:00:00,0.0432
2018-06-06 23:00:00,0.0294
2018-06-07 00:00:00,0.0197
2018-06-07 01:00:00,0.0122
