date,value
2020-01-01 00:00:00,0.0076
2020-01-01 01:00:00,0.0057
2020-01-01 02:00:00,0.0042
2020-01-01 03:00:00,0.0039
2020-01-01 04:00:00,0.0049
2020-01-01 05:00:00,0.0097
2020-01-01 06:00:00,0.0145
2020-01-01 07:00:00,0.0225
2020-01-01 08:00:00,0.0292
2020-01-01 09:00:00,0.0344
2020-01-01 10:00:00,0.041
2020-01-01 11:00:00,0.0453
2020-01-01 12:00:00,0.0495
2020-01-01 13:00:00,0.0456
2020-01-01 14:00:00,0.0466
2020-01-01 15:00:00,0.044
2020-01-01 16:00:00,0.0455
2020-01-01 17:00:00,0.0344
2020-01-01 18:00:00,0.0353
2020-01-01 19:00:00,0.0262
2020-01-01 20:00:00,0.0211
2020-01-01 21:00:00,0.0132
2020-01-01 22:00:00,0.0099
2020-01-01 23:00:00,0.0059
2020-01-02 00:00:00,0.0039
2020-01-02 01:00:00,0.0028
2020-01-02 02:00:00,0.0045
2020-01-02 03:00:00,0.0083
2020-01-02 04:00:00,0.0146
2020-01-02 05:00:00,0.0227
2020-01-02 06:00:00,0.0358
2020-01-02 07:00:00,0.043
2020-01-02 08:00:00,0.0402
2020-01-02 09:00:00,0.0443
2020-01-02 10:00:00,0.0489
2020-01-02 11:00:00,0.0546
2020-01-02 12:00:00,0.0556
2020-01-02 13:00:00,0.065
2020-01-02 14:00:00,0.0709
2020-01-02 15:00:00,0.069
2020-01-02 16:00:00,0.0694
2020-01-02 17:00:00,0.0595
2020-01-02 18:00:00,0.0458
2020-01-02 19:00:00,0.0365
2020-01-02 20:00:00,0.0267
2020-01-02 21:00:00,0.0172
2020-01-02 22:00:00,0.0105
2020-01-02 23:00:00,0.0076
2020-01-03 00:00:00,0.006
2020-01-03 01:00:00,0.0044
2020-01-03 02:00:00,0.0053
2020-01-03 03:00:00,0.0104
2020-01-03 04:00:00,0.019
2020-01-03 05:00:00,0.0302
2020-01-03 06:00:00,0.038
2020-01-03 07:00:00,0.0501
2020-01-03 08:00:00,0.0421
2020-01-03 09:00:00,0.0442
2020-01-03 10:00:00,0.0495
2020-01-03 11:00:00,0.0528
2020-01-03 12:00:00,0.056
2020-01-03 13:00:00,0.0654
2020-01-03 14:00:00,0.075
2020-01-03 15:00:00,0.0719
2020-01-03 16:00:00,0.074
2020-01-03 17:00:00,0.0618
2020-01-03 18:00:00,0.055
2020-01-03 19:00:00,0.04
2020-01-03 20:00:00,0.0295
2020-01-03 21:00:00,0.0208
2020-01-03 22:00:00,0.0126
2020-01-03 23:00:00,0.0084
2020-01-04 00:00:00,0.0046
2020-01-04 01:00:00,0.0043
2020-01-04 02:00:00,0.0063
2020-01-04 03:00:00,0.0097
2020-01-04 04:00:00,0.0199
2020-01-04 05:00:00,0.0323
2020-01-04 06:00:00,0.0399
2020-01-04 07:00:00,0.0509
2020-01-04 08:00:00,0.0412
2020-01-04 09:00:00,0.045
2020-01-04 10:00:00,0.0515
2020-01-04 11:00:00,0.0552
2020-01-04 12:00:00,0.0593
2020-01-04 13:00:00,0.0693
2020-01-04 14:00:00,0.0741
2020-01-04 15:00:00,0.0793
2020-01-04 16:00:00,0.0702
2020-01-04 17:00:00,0.0669
2020-01-04 18:00:00,0.0525
2020-01-04 19:00:00,0.0414
2020-01-04 20:00:00,0.0332
2020-01-04 21:00:00,0.0205
2020-01-04 22:00:00,0.0124
2020-01-04 23:00:00,0.0087
2020-01-05 00:00:00,0.0058
2020-01-05 01:00:00,0.0041
2020-01-05 02:00:00,0.0054
2020-01-05 03:00:00,0.0103
2020-01-05 04:00:00,0.0195
2020-01-05 05:00:00,0.0321
2020-01-05 06:00:00,0.0402
2020-01-05 07:00:00,0.0482
2020-01-05 08:00:00,0.0431
2020-01-05 09:00:00,0.0458
2020-01-05 10:00:00,0.0491
2020-01-05 11:00:00,0.0583
2020-01-05 12:00:00,0.0606
2020-01-05 13:00:00,0.0674
2020-01-05 14:00:00,0.075
2020-01-05 15:00:00,0.075
2020-01-05 16:00:00,0.0748
2020-01-05 17:00:00,0.0657
2020-01-05 18:00:00,0.0558
2020-01-05 19:00:00,0.0453
2020-01-05 20:00:00,0.0331
2020-01-05 21:00:00,0.0219
2020-01-05 22:00:00,0.0128
2020-01-05 23:00:00,0.0092
2020-01-06 00:00:00,0.0065
2020-01-06 01:00:00,0.0047
2020-01-06 02:00:00,0.0057
2020-01-06 03:00:00,0.0085
2020-01-06 04:00:00,0.016
2020-01-06 05:00:00,0.0294
2020-01-06 06:00:00,0.0384
2020-01-06 07:00:00,0.0506
2020-01-06 08:00:00,0.0421
2020-01-06 09:00:00,0.0459
2020-01-06 10:00:00,0.0563
2020-01-06 11:00:00,0.0579
2020-01-06 12:00:00,0.0554
2020-01-06 13:00:00,0.0634
2020-01-06 14:00:00,0.0764
2020-01-06 15:00:00,0.0774
2020-01-06 16:00:00,0.0811
2020-01-06 17:00:00,0.0688
2020-01-06 18:00:00,0.0506
2020-01-06 19:00:00,0.0371
2020-01-06 20:00:00,0.033
2020-01-06 21:00:00,0.0267
2020-01-06 22:00:00,0.0196
2020-01-06 23:00:00,0.0122
2020-01-07 00:00:00,0.0078
2020-01-07 01:00:00,0.0066
2020-01-07 02:00:00,0.0053
2020-01-07 03:00:00,0.0061
2020-01-07 04:00:00,0.0099
2020-01-07 05:00:00,0.0146
2020-01-07 06:00:00,0.0252
2020-01-07 07:00:00,0.0306
2020-01-07 08:00:00,0.037
2020-01-07 09:00:00,0.0438
2020-01-07 10:00:00,0.0519
2020-01-07 11:00:00,0.055
2020-01-07 12:00:00,0.058
2020-01-07 13:00:00,0.0609
2020-01-07 14:00:00,0.0596
2020-01-07 15:00:00,0.0581
2020-01-07 16:00:00,0.0551
2020-01-07 17:00:00,0.0522
2020-01-07 18:00:00,0.0407
2020-01-07 19:00:00,0.0358
2020-01-07 20:00:00,0.03
2020-01-07 21:00:00,0.0247
2020-01-07 22:00:00,0.0186
2020-01-07 23:00:00,0.0126
2020-01-08 00:00:00,0.0079
2020-01-08 01:00:00,0.0062
2020-01-08 02:00:00,0.0044
2020-01-08 03:00:00,0.0039
2020-01-08 04:00:00,0.0046
2020-01-08 05:00:00,0.0074
2020-01-08 06:00:00,0.013
2020-01-08 07:00:00,0.0194
2020-01-08 08:00:00,0.0263
2020-01-08 09:00:00,0.0347
2020-01-08 10:00:00,0.0396
2020-01-08 11:00:00,0.047
2020-01-08 12:00:00,0.0466
2020-01-08 13:00:00,0.0428
2020-01-08 14:00:00,0.0417
2020-01-08 15:00:00,0.0448
2020-01-08 16:00:00,0.046
2020-01-08 17:00:00,0.0438
2020-01-08 18:00:00,0.0368
2020-01-08 19:00:00,0.0255
2020-01-08 20:00:00,0.0201
2020-01-08 21:00:00,0.014
2020-01-08 22:00:00,0.0098
2020-01-08 23:00:00,0.0072
2020-01-09 00:00:00,0.0037
2020-01-09 01:00:00,0.0039
2020-01-09 02:00:00,0.0051
2020-01-09 03:00:00,0.0083
2020-01-09 04:00:00,0.017
2020-01-09 05:00:00,0.0312
2020-01-09 06:00:00,0.0447
2020-01-09 07:00:00,0.05
2020-01-09 08:00:00,0.0394
2020-01-09 09:00:00,0.0412
2020-01-09 10:00:00,0.049
2020-01-09 11:00:00,0.0545
2020-01-09 12:00:00,0.0575
2020-01-09 13:00:00,0.0661
2020-01-09 14:00:00,0.0695
2020-01-09 15:00:00,0.0735
