date,OT
0,-0.475938872
1,-1.266789776
2,0.261870698
3,-1.604001259
4,-0.978943641
5,-0.110980122
6,-0.420447381
7,-0.743007809
8,-0.462583769
9,2.430409289
10,1.999796874
11,0.096145487
12,-1.797181749
13,0.472552584
14,0.114116255
15,1.064178288
16,-1.010581152
17,-0.019097677
18,0.596860912
19,0.076354505
20,-1.136529299
21,1.279036836
22,-0.20792396
23,0.278686761
24,-0.749330891
25,-0.920586436
26,0.601509868
27,-0.525440513
28,0.933062412
29,-0.195709841
30,-0.802905034
31,2.116804628
32,0.128406615
33,0.046034255
34,-0.324957034
35,0.019550649
36,-0.689749122
37,1.181127923
38,0.631565391
39,-0.15251641
40,0.221917189
41,0.834302878
42,-2.026389868
43,-0.631256229
44,0.131347483
45,-1.584939009
46,0.316705186
47,-1.36141714
48,-0.565470224
49,-0.272680874
50,1.524379755
51,-0.576286636
52,0.525466326
53,-1.541502419
54,0.390733314
55,0.7380739
56,0.400510177
57,0.738521751
58,0.848006949
59,1.831537283
60,0.431015584
61,1.791382924
62,0.344092015
63,1.256154748
64,0.599387179
65,-1.449040596
66,0.512186434
67,0.330467607
68,-0.440646829
69,0.059251495
70,0.090757269
71,-1.480170763
72,-0.479594567
73,0.798410604
74,0.268699305
75,-0.556861077
76,-0.062490972
77,0.717793253
78,-0.259961603
79,-0.491405376
80,0.018717249
81,0.660729147
82,-0.180267283
83,-0.249027794
84,-1.491199451
85,0.361942343
86,0.027546096
87,1.607328658
88,-1.188747476
89,0.077341353
90,0.033586735
91,0.552101624
92,0.162229567
93,0.569431388
94,-0.338567093
95,-1.418748236
96,-0.77493637
97,-0.014093697
98,-0.063135857
99,0.839999075
100,-1.543283249
101,2.534455687
102,1.095983786
103,-0.845417088
104,0.570059787
105,0.580561899
106,-0.948932983
107,-0.614570734
108,0.445068511
109,0.060575723
110,-0.096237679
111,1.578084549
112,-0.455938553
113,1.649770064
114,1.602478114
115,-1.41909314
116,1.215316241
117,0.461294905
118,-0.153485454
119,2.904409169
120,-0.041153355
121,-1.072423742
122,0.922383013
123,-2.117616468
124,-0.446952602
125,-1.403627693
126,1.814863015
127,-0.919000406
128,0.432097753
129,-0.152002478
130,-0.058043626
131,0.93882291
132,0.663776639
133,0.649090223
134,-0.121197697
135,0.029906317
136,1.24872028
137,-0.1229655
138,-0.409460433
139,-0.877885074
140,-0.733793917
141,1.337320411
142,1.343409075
143,-0.267045936
144,1.710746134
145,-0.616133985
146,-0.019156334
147,0.33372073
148,-1.105454658
149,-1.188783424
150,0.010003859
151,0.261396504
152,-2.111162583
153,-1.245752769
154,1.63041739
155,2.250741195
156,-0.610444491
157,0.409581865
158,-0.727883998
159,1.742099191
